"Catalysed","촉진된"
"Masochist's","피학 도착자의"
"Nitrate","질산염"
"Dolomite","백운석"
"Kieserite","키젤석"
"Kainite","카이나이트"
"Gypsum","석고"
"of Bloodshed"," 유혈 "
"of Gore"," 선혈 "
"of Carnage"," 살육 "
"of Butchery"," 도살 "
"of Diverting"," 분산 "
"of Depletion"," 동남 "
"of Tapping"," 끌어 쓰기 "
"of Siphoning"," 착취 "
"of the Falcon"," 매 "
"of the Eagle"," 독수리 "
"of the Dove"," 비둘기 "
"of the Albatross"," 알바트로스 "
"of the Hummingbird"," 벌새 "
"of the Horsefly"," 말파리 "
"of the Monkey"," 원숭이 "
"of the Raccoon"," 너구리 "
"of the Crow"," 까마귀 "
"of Stinging"," 찌르기 "
"of Piercing"," 관통 "
"of Rupturing"," 파열 "
"of Penetrating"," 침투 "
"of Incision"," 절개 "
"of Foisting"," 떠맡기기 "
"of Imposing"," 강제 "
"of Wreaking"," 마구잡이 "
"of Composure"," 평정 "
"of Surefootedness"," 확실함 "
"of Persistence"," 지속성 "
"of Relentlessness"," 집요함 "
"of Tenaciousness"," 끈기 "
"of the Pupil"," 제자 "
"of the Initiate"," 입회자 "
"of the Mage"," 마법사 "
"of the Arcanist"," 신비학자 "
"of the Sorcerer"," 악령술사 "
"of the Rabbit"," 토끼 "
"of the Cat"," 고양이 "
"of the Fox"," 여우 "
"of the Sable"," 담비 "
"of the Bear"," 곰 "
"of the Plover"," 물떼새 "
"of the Sandpiper"," 도요새 "
"of the Cormorant"," 가마우지 "
"of the Sanderling"," 세발가락도요새 "
"of the Heron"," 왜가리 "
"of the Petrel"," 슴새 "
"of the Mockingbird"," 흉내지빠귀 "
"of the Curlew"," 마도요 "
"of the Kakapo"," 카카포 "
"of the Owl"," 올빼미 "
"of the Orca"," 범고래 "
"of the Sea Lion"," 바다사자 "
"of the Narwhal"," 일각고래 "
"of the Beluga"," 벨루가 "
"of the Seal"," 물개 "
"of the Guppy"," 구피 "
"of the Goldfish"," 금붕어 "
"of the Carp"," 잉어 "
"of the Catfish"," 메기 "
"of the Sunfish"," 개복치 "
"of Tree Moss"," 나무 이끼 "
"of Turf Moss"," 잔디 이끼 "
"of Tooth Moss"," 이 이끼 "
"of Plume Moss"," 깃 이끼 "
"of Bog Moss"," 습지대 이끼 "
"of Interference"," 방해 "
"of Obstruction"," 장애물 "
"of Occlusion"," 폐색 "
"of Restraint"," 제약 "
"of Movement"," 이동 "
"of Motion"," 동작 "
"of Freedom"," 자유 "
"of Liberation"," 해방 "
"of Abundance"," 풍부함 "
"of Plenty"," 풍요함 "
"of Bounty"," 하사품 "
"of Incessance"," 집요 "
"of Perenniality"," 연속 "
"of Sealing"," 봉인 "
"of Alleviation"," 완화 "
"of Allaying"," 누그러뜨림 "
"of Assuaging"," 속풀이 "
"of Earthing"," 땅 "
"of Insulation"," 절연 "
"of the Dielectric"," 유전체 "
"of Convection"," 대류 "
"of Thermodynamics"," 열역학 "
"of Entropy"," 엔트로피 "
"of Thawing"," 녹이기 "
"of Damping"," 적시기 "
"of Quashing"," 짓누르기 "
"of Quelling"," 진압 "
"of Quenching"," 불 끄기 "
"of the Antitoxin"," 항독소 "
"of the Remedy"," 요법 "
"of the Cure"," 치료제 "
"of the Antidote"," 해독제 "
"of the Skunk"," 스컹크 "
"of the Hedgehog"," 고슴도치 "
"of the Opossum"," 주머니쥐 "
"of the Conger"," 붕장어 "
"of the Moray"," 곰치 "
"of the Eel"," 뱀장어 "
"of the Deer"," 사슴 "
"of the Walrus"," 바다코끼리 "
"of the Penguin"," 펭귄 "
"of the Urchin"," 성게 "
"of the Mussel"," 홍합 "
"of the Starfish"," 불가사리 "
"of the Lizard"," 도마뱀 "
"of the Skink"," 스킨크 "
"of the Iguana"," 이구아나 "
